,x,x,x,x,x,x,x,x,x,x,y,y,y,y,y,y,y,y,y,y,Time_s,Time_s,Time_s,Time_s,Time_s,Time_s,Time_s,Time_s,Time_s,Time_s
Unit,CDOTA_Unit_Hero_Abaddon,CDOTA_Unit_Hero_Centaur,CDOTA_Unit_Hero_KeeperOfTheLight,CDOTA_Unit_Hero_Leshrac,CDOTA_Unit_Hero_Obsidian_Destroyer,CDOTA_Unit_Hero_PhantomLancer,CDOTA_Unit_Hero_Pudge,CDOTA_Unit_Hero_Sven,CDOTA_Unit_Hero_Windrunner,CDOTA_Unit_Hero_WitchDoctor,CDOTA_Unit_Hero_Abaddon,CDOTA_Unit_Hero_Centaur,CDOTA_Unit_Hero_KeeperOfTheLight,CDOTA_Unit_Hero_Leshrac,CDOTA_Unit_Hero_Obsidian_Destroyer,CDOTA_Unit_Hero_PhantomLancer,CDOTA_Unit_Hero_Pudge,CDOTA_Unit_Hero_Sven,CDOTA_Unit_Hero_Windrunner,CDOTA_Unit_Hero_WitchDoctor,CDOTA_Unit_Hero_Abaddon,CDOTA_Unit_Hero_Centaur,CDOTA_Unit_Hero_KeeperOfTheLight,CDOTA_Unit_Hero_Leshrac,CDOTA_Unit_Hero_Obsidian_Destroyer,CDOTA_Unit_Hero_PhantomLancer,CDOTA_Unit_Hero_Pudge,CDOTA_Unit_Hero_Sven,CDOTA_Unit_Hero_Windrunner,CDOTA_Unit_Hero_WitchDoctor
0,,,,,,,,,16562.5,,,,,,,,,,16560.05859375,,,,,,,,,,116.0,
1,,,12656.25,,,,,,,,,,8278.80859375,,,,,,,,,,116.0,,,,,,,
2,,,,937.5,,,,,,,,,,18044.43359375,,,,,,,,,,116.0,,,,,,
3,,,,,,,,,,2968.75,,,,,,,,,,7810.05859375,,,,,,,,,,116.0
4,,,,,,,,17031.25,,,,,,,,,,9763.18359375,,,,,,,,,,116.0,,
5,,5312.5,,,,,,,,,,19528.80859375,,,,,,,,,,116.0,,,,,,,,
6,,,,,19062.5,,,,,,,,,,19528.80859375,,,,,,,,,,116.0,,,,,
7,,,,,,14687.5,,,,,,,,,,18122.55859375,,,,,,,,,,116.0,,,,
8,,,,,,,18593.75,,,,,,,,,,6325.68359375,,,,,,,,,,116.0,,,
9,10312.5,,,,,,,,,,16560.05859375,,,,,,,,,,116.0,,,,,,,,,
10,,,,,,,,1228.02734375,,,,,,,,,,10290.52734375,,,,,,,,,,117.0,,
11,,,,,,,,1406.25,,,,,,,,,,12468.26171875,,,,,,,,,,118.0,,
12,,,,,,,19650.87890625,,,,,,,,,,11757.8125,,,,,,,,,,118.0,,,
13,,,,,,19953.61328125,,,,,,,,,,14780.2734375,,,,,,,,,,119.0,,,,
14,,,,,,,,1689.453125,,,,,,,,,,13632.8125,,,,,,,,,,119.0,,
15,,295.41015625,,,,,,,,,,15473.63125,,,,,,,,,,119.0,,,,,,,,
16,18542.48046875,,,,,,,,,,15170.8984375,,,,,,,,,,119.0,,,,,,,,,
17,,,,,,,19174.8046875,,,,,,,,,,9028.3203125,,,,,,,,,,119.0,,,
18,,,,,,,,249.0234375,,,,,,,,,,15065.91796875,,,,,,,,,,119.0,,
19,,,,,,19702.1484375,,,,,,,,,,8752.440625,,,,,,,,,,120.0,,,,
20,,,498.046875,,,,,,,,,,13559.56875,,,,,,,,,,120.0,,,,,,,
21,,,,971.6796875,,,,,,,,,,7331.54296875,,,,,,,,,,120.0,,,,,,
22,,,,,,,,,,19714.35546875,,,,,,,,,,5646.971875,,,,,,,,,,120.0
23,,,,,,,,197.75390625,,,,,,,,,,18535.15625,,,,,,,,,,120.0,,
24,,,,,,19626.46484375,,,,,,,,,,2097.16796875,,,,,,,,,,120.0,,,,
25,,,466.30859375,,,,,,,,,,6999.51171875,,,,,,,,,,121.0,,,,,,,
26,,,,,,,19421.38671875,,,,,,,,,,5639.6484375,,,,,,,,,,121.0,,,
27,,,,1564.94140625,,,,,,,,,,15090.33203125,,,,,,,,,,121.0,,,,,,
28,,,,,,,,856.93359375,,,,,,,,,,5886.23046875,,,,,,,,,,121.0,,
29,,,,,,,,,,19426.26953125,,,,,,,,,,13898.92578125,,,,,,,,,,121.0
30,,,,,,19384.765625,,,,,,,,,,18588.8671875,,,,,,,,,,121.0,,,,
31,,,937.5,,,,,,,,,,12199.70703125,,,,,,,,,,121.0,,,,,,,
32,,,,,,,,,19987.79296875,,,,,,,,,,16350.09765625,,,,,,,,,,122.0,
33,,856.93359375,,,,,,,,,,8276.3671875,,,,,,,,,,122.0,,,,,,,,
34,,,,273.4375,,,,,,,,,,2919.921875,,,,,,,,,,122.0,,,,,,
35,,,,,,,,1064.453125,,,,,,,,,,18273.92578125,,,,,,,,,,122.0,,
36,,,,,,19758.30078125,,,,,,,,,,18071.2875,,,,,,,,,,122.0,,,,
37,,,,,,,19213.8671875,,,,,,,,,,18862.3046875,,,,,,,,,,122.0,,,
38,,,,1372.0703125,,,,,,,,,,13720.703125,,,,,,,,,,123.0,,,,,,
39,,,,,,,,1274.4140625,,,,,,,,,,10659.1796875,,,,,,,,,,123.0,,
40,,17.08984375,,,,,,,,,,16826.171875,,,,,,,,,,123.0,,,,,,,,
41,,,,,,18610.83984375,,,,,,,,,,17834.47265625,,,,,,,,,,123.0,,,,
42,,,,1135.25390625,,,,,,,,,,5603.02734375,,,,,,,,,,124.0,,,,,,
43,,,,,,,19760.7421875,,,,,,,,,,13337.40234375,,,,,,,,,,124.0,,,
44,,,,,,,,161.1328125,,,,,,,,,,1940.91796875,,,,,,,,,,124.0,,
45,18574.21875,,,,,,,,,,19533.69140625,,,,,,,,,,124.0,,,,,,,,,
46,,,,,,18984.375,,,,,,,,,,17128.90625,,,,,,,,,,124.0,,,,
47,,,,534.66796875,,,,,,,,,,19221.19140625,,,,,,,,,,125.0,,,,,,
48,,,,,,,,1494.140625,,,,,,,,,,12272.94921875,,,,,,,,,,125.0,,
49,,,,,,19357.91015625,,,,,,,,,,16425.78125,,,,,,,,,,125.0,,,,
50,,,,,,,19550.78125,,,,,,,,,,13044.43359375,,,,,,,,,,125.0,,,
51,,,,844.7265625,,,,,,,,,,13937.98828125,,,,,,,,,,126.0,,,,,,
52,,,,,,,,1369.62890625,,,,,,,,,,17580.56640625,,,,,,,,,,126.0,,
53,,,,,,19770.50625,,,,,,,,,,16801.75625,,,,,,,,,,126.0,,,,
54,,,,,,,19384.765625,,,,,,,,,,14521.484375,,,,,,,,,,126.0,,,
55,,,192.87109375,,,,,,,,,,15190.4296875,,,,,,,,,,127.0,,,,,,,
56,,,,102.5390625,,,,,,,,,,10441.89453125,,,,,,,,,,127.0,,,,,,
57,,,,,,18745.1171875,,,,,,,,,,19104.00390625,,,,,,,,,,127.0,,,,
58,,,,,,,18823.2421875,,,,,,,,,,7448.73046875,,,,,,,,,,127.0,,,
59,,,,,,19218.75,,,,,,,,,,1228.02734375,,,,,,,,,,128.0,,,,
60,,,,65.91796875,,,,,,,,,,8752.440625,,,,,,,,,,128.0,,,,,,
61,,,1054.6875,,,,,,,,,,15539.55078125,,,,,,,,,,128.0,,,,,,,
62,,,,,,,19528.80859375,,,,,,,,,,795.8984375,,,,,,,,,,128.0,,,
63,,,,,,19694.82421875,,,,,,,,,,3352.05078125,,,,,,,,,,128.0,,,,
64,,,524.90234375,,,,,,,,,,9313.96484375,,,,,,,,,,129.0,,,,,,,
65,,,,576.171875,,,,,,,,,,19633.7875,,,,,,,,,,129.0,,,,,,
66,,,,,,,19775.390625,,,,,,,,,,11440.4296875,,,,,,,,,,129.0,,,
67,,,,,,18977.05078125,,,,,,,,,,3933.10546875,,,,,,,,,,129.0,,,,
68,,,820.3125,,,,,,,,,,11987.3046875,,,,,,,,,,130.0,,,,,,,
69,,,,,,19655.76171875,,,,,,,,,,415.0390625,,,,,,,,,,130.0,,,,
70,,,,434.5703125,,,,,,,,,,4531.25,,,,,,,,,,130.0,,,,,,
71,,,,,,,,1027.83203125,,,,,,,,,,5141.6015625,,,,,,,,,,131.0,,
72,,,981.4453125,,,,,,,,,,19836.42578125,,,,,,,,,,131.0,,,,,,,
73,,,,,,18691.40625,,,,,,,,,,17626.953125,,,,,,,,,,131.0,,,,
74,,,,,,,19914.55078125,,,,,,,,,,1491.69921875,,,,,,,,,,131.0,,,
75,,,,224.609375,,,,,,,,,,2700.1953125,,,,,,,,,,131.0,,,,,,
76,,,,,,,,676.26953125,,,,,,,,,,727.5390625,,,,,,,,,,132.0,,
77,,,,,,19223.63125,,,,,,,,,,15036.62109375,,,,,,,,,,132.0,,,,
78,,,,,,,19401.85546875,,,,,,,,,,7568.359375,,,,,,,,,,132.0,,,
79,,,,109.86328125,,,,,,,,,,12133.7875,,,,,,,,,,132.0,,,,,,
80,,,97.65625,,,,,,,,,,6323.2421875,,,,,,,,,,132.0,,,,,,,
81,,,,,,,,231.93359375,,,,,,,,,,10830.078125,,,,,,,,,,133.0,,
82,,,,,,19755.859375,,,,,,,,,,12446.2875,,,,,,,,,,133.0,,,,
83,,,,,,,,,,18608.3984375,,,,,,,,,,19235.83984375,,,,,,,,,,133.0
84,,,,1525.87890625,,,,,,,,,,2294.921875,,,,,,,,,,133.0,,,,,,
85,,,,,,,18959.9609375,,,,,,,,,,11215.81875,,,,,,,,,,134.0,,,
86,,,,,,,,1289.0625,,,,,,,,,,1708.984375,,,,,,,,,,134.0,,
