,hero_name,player_name,steamid,game_team
0,npc_dota_hero_mirana,azurezebu,76561198120711403,2
1,npc_dota_hero_arc_warden,GutterShark,76561198089787694,2
2,npc_dota_hero_morphling,Kaiser,76561198196975328,2
3,npc_dota_hero_lich,Young G-EM,76561198076014712,2
4,npc_dota_hero_legion_commander,InSaNe,76561197978704379,2
5,npc_dota_hero_grimstroke,Potato.,76561198086525837,3
6,npc_dota_hero_bloodseeker,D2n,76561197970804125,3
7,npc_dota_hero_lion,anti shipping shipping club,76561198413936845,3
8,npc_dota_hero_tidehunter,Sam Jackson In a Speedo,76561198834823921,3
9,npc_dota_hero_spectre,Giovanni Pacini,76561198061049671,3
